674277485807140864	neutral
629328699230306304	neutral
672700570013212672	negative
802339460633559040	negative
802345702655344640	neutral
640741434589474816	positive
626585536682135553	neutral
636388518034546689	positive
625614215236063233	neutral
640258517333614592	neutral
627239381619867648	negative
805578452405338112	neutral
638250281935892482	neutral
630528372112793600	positive
802351224100155396	neutral
674834621066969088	positive
681545947017572353	neutral
800851283963998212	neutral
636146606513999872	positive
673897277379989504	positive
640201697978155008	neutral
802102786477485952	positive
629544711779282944	negative
679396770443579393	neutral
635590123497852928	neutral
801702492476243968	neutral
665691552300277760	neutral
637769872601124864	positive
805638338342486016	positive
637040208433823744	neutral
802177708809710976	positive
800542501006409728	neutral
802205171862408960	neutral
638717837171777536	positive
802024989935463936	neutral
802388494916128768	neutral
630801618053632000	neutral
805705358882770944	neutral
637043875094269952	neutral
802146634519944960	positive
802208116947435008	neutral
680862096989499392	neutral
639906817871597569	neutral
681820172659757057	neutral
638481044295909376	neutral
802056943233698944	positive
802371317689241600	negative
802342727765499904	neutral
679065500509446144	neutral
634012063396929536	positive
632347442986532864	neutral
802349038947405824	negative
637074952894738432	neutral
641053565100929024	neutral
634844810218733568	neutral
802189255724453889	positive
637107412638367745	neutral
628288729069674496	neutral
635593655764389888	neutral
631249234377900032	neutral
634747952767074304	neutral
638550726961143808	positive
802075807585860992	neutral
672769576053170177	negative
802207347284253952	negative
802429438474461184	neutral
624838541365899265	positive
637081714356023296	neutral
802345665661530113	neutral
802355473320067072	neutral
805653306412503040	negative
620695735906885632	positive
805607588410904576	neutral
660263692102053889	neutral
802428637320515584	neutral
636297723872940032	negative
636022046175154176	neutral
636906435931185152	positive
630012144503787520	positive
679607977293250560	neutral
802333699274637312	neutral
640654414152253440	positive
636712402193620992	neutral
663498474680381440	neutral
805706028549545984	neutral
802213440240552960	neutral
802360046831202304	neutral
802203258781634048	neutral
805598182948438016	neutral
622038814312300544	negative
681213128202399744	negative
800916785138700289	negative
639735283928330240	positive
633716888892276737	neutral
678368973134561280	neutral
636157944791330818	neutral
641334225367658496	neutral
802161386667154944	neutral
802194211021945984	negative
632982549430534144	neutral
802207269328998016	negative
636731927626551296	negative
633981515458674688	neutral
628261247704694784	neutral
799900051229331458	neutral
802335357865955328	negative
802200766756883968	positive
802229532229046272	neutral
625038562979876864	neutral
799100862232596480	positive
630423773712359424	positive
678114574189596672	neutral
802196901936459008	neutral
624435608157466625	positive
634300212182315008	neutral
802424460926013441	neutral
641267051399524352	positive
623692890154340352	neutral
802358016481710081	negative
802334285763997696	neutral
676401666925596677	neutral
802140352027074048	neutral
640671645133201408	neutral
802386020117270529	neutral
805669830653333504	neutral
638953315137683456	neutral
805705565926227968	neutral
622765623836323840	positive
637979522483228672	neutral
639259967128793088	neutral
640725444354945024	negative
802380558936539136	neutral
639407716134338561	negative
639140409067737088	neutral
805691205824626688	neutral
632598778038591488	positive
629001869810094080	positive
640360161798828032	neutral
623026196322758656	neutral
623469818826616832	neutral
635592771135537152	neutral
640821210041835520	neutral
626112561264525312	neutral
639806355373719552	neutral
